0,1,2,3,4,5,6,7,8,9
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapaa',b'ABaraaapaa',b'ABalpaaapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapap',b'ABaraaapap',b'ABalpaaapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaappa',b'ABaraaappa',b'ABalpaaappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaappp',b'ABaraaappp',b'ABalpaaappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapaaa',b'ABaraapaaa',b'ABalpaapaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapaap',b'ABaraapaap',b'ABalpaapaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapapa',b'ABaraapapa',b'ABalpaapapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapapp',b'ABaraapapp',b'ABalpaapapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplappaa',b'ABaraappaa',b'ABalpaappaa',b'ABalapaappaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplappap',b'ABaraappap',b'ABalpaappap',b'ABalapaappap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapppa',b'ABaraapppa',b'ABalpaapppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapppp',b'ABaraapppp',b'ABalpaapppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaaaa',b'ABarapaaaa',b'ABalpapaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaaap',b'ABarapaaap',b'ABalpapaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaapa',b'ABarapaapa',b'ABalpapaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaapp',b'ABarapaapp',b'ABalpapaapp',b'0.0'
